unique_id,name,category
23645.0,Refrigerated fruit juice - see varieties in store,juice
32406.0,Hygienic buffers - Pearl,perfume
45866.0,Disinfecting wipes,wipes
25407.0,mango,mango
11777.0,Laundry,detergent
7559.0,Chewing gum,chewing gum
44830.0,Spread,spread
41500.0,feta cheese,cheese
27845.0,Capillary Products - Fruits,fruits
17871.0,Capillary Products - Fruits,cabbage
28939.0,Chocolate milk - Quebec - See in store varieties,chocolate milk
3145.0,Ice Cream With Vanilla,ice cream
47337.0,"Acetaminophen - Complete - Cold, Cough and Influenza",medicine
3466.0,Bars - Maxi Max,chocolate milk
9071.0,"Charcuterie, Bologna",frozen food
18960.0,Ice Sweets - Drumstick - View Varieties in-store,ice cream
21137.0,"Chips - Saturday, November 16th only - Limit of 4",chips
18229.0,sports drink,drinks
37817.0,Greek Yogurt - * 100 Points Bonus M In Buy 2,yogurt
15261.0,English muffins,snacks
47766.0,Pale tuna Listao,tuna
3390.0,Green Organic Beard - US,bread
44359.0,Drain opener,tools
36062.0,Frozen Pork Back CÃÂÃÂ´tes - Save $ 5.11,frozen pork
15850.0,Fruit Drink - Unnamed - See Varieties In Store,drinks
47167.0,Ice Cream - Real Cream - See Varieties In Store,ice cream
19519.0,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,detergent
33787.0,Frozen pork back ribs,frozen pork ribs
16043.0,Marmalade - Buy 2 and get 1 FREE 1 peanut butter (500 g),jam
27642.0,Ice cream bars - see varieties in store,ice cream
17948.0,Acetaminophen - Regular 325 mg,medicine
34255.0,Frozen Calzones - See Varieties in-store,frozen food
24852.0,Toothpaste - Sensitive - Sunday 29th and Monday 30 December only - Limit of 4 - $ 2.99 per additional item,toothpaste
42265.0,Powder preparation for infants - see varieties in store,baby product
30440.0,Vegetable potato chips - See varieties in store,chips
43935.0,Bagelwichs - Best Prices year,food
4957.0,Nibrants - See Varieties In store,flower
10418.0,Frozen Dinner - O 'Sole Mio - See Varieties In Store,frozen food
31650.0,Flavored milk,mmilk
