unique_id,name,category
23645,Refrigerated fruit juice - see varieties in store,Juice
32406,Hygienic buffers - Pearl,Perfume
45866,Disinfecting wipes,Wipes
25407,mango,Mango
11777,Laundry,Detergent
7559,Chewing gum,Chewing Gum
44830,Spread,Spread
41500,feta cheese,Cheese
27845,Capillary Products - Fruits,Fruits
17871,Capillary Products - Fruits,Cabbage
28939,Chocolate milk - Quebec - See in store varieties,Chocolate Milk
3145,Ice Cream With Vanilla,Ice Cream
47337,"Acetaminophen - Complete - Cold, Cough and Influenza",Medicine
3466,Bars - Maxi Max,Chocolate Milk
9071,"Charcuterie, Bologna",Frozen Food
18960,Ice Sweets - Drumstick - View Varieties in-store,Ice Cream
21137,"Chips - Saturday, November 16th only - Limit of 4",Chips
18229,sports drink,Drinks
37817,Greek Yogurt - * 100 Points Bonus M In Buy 2,Yogurt
15261,English muffins,Snacks
47766,Pale tuna Listao,Canned Tuna
3390,Green Organic Beard - US,Bread
44359,Drain opener,Tools
36062,Frozen Pork Back Côtes - Save $ 5.11,Frozen Pork
15850,Fruit Drink - Unnamed - See Varieties In Store,Drinks
47167,Ice Cream - Real Cream - See Varieties In Store,Ice Cream
19519,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,Detergent
33787,Frozen pork back ribs,Frozen Pork Ribs
16043,Marmalade - Buy 2 and get 1 FREE 1 peanut butter (500 g),Jam
27642,Ice cream bars - see varieties in store,Ice Cream
17948,Acetaminophen - Regular 325 mg,Medicine
34255,Frozen Calzones - See Varieties in-store,Frozen Food
24852,Toothpaste - Sensitive - Sunday 29th and Monday 30 December only - Limit of 4 - $ 2.99 per additional item,Toothpaste
42265,Powder preparation for infants - see varieties in store,Baby Product
30440,Vegetable potato chips - See varieties in store,Chips
43935,Bagelwichs - Best Prices year,Food
4957,Nibrants - See Varieties In store,Flower
10418,Frozen Dinner - O 'Sole Mio - See Varieties In Store,Frozen Food
31650,Flavored milk,Flavoured Milk
21709,Jam - Pure - View Varieties in store,Jam
13829,Cheese - 40% off,Cheese
19980,Refrigerated dessert,Dessert
31678,Large Frozen Cooked Foods - President's Choice - See Varieties In-store,Frozen Food
24615,Juices - Nutrisource,Juice
43901,Chocolate,Chocolate Milk
15005,Honey,Honey
30841,minced pork,Pork
11741,Chocolate milk 1%,Chocolate Milk
34584,Potatoes - Quebec,Potatoes
37042,CREAM 10%,Cream
39764,Frozen duck - Category Utility,Frozen Duck
13213,Coffee Capsules - Nabob - View Varieties In Store,Coffee
36676,"Egg eggs, big caliber - lower price of the year",Egg
17566,"salmon, net, fresh",Fish
12811,Fruit Drink - See Varieties In Store,Juice
32667,Deodorant,Deodrant
19778,Biological mature - the United States and / or Mexico,
25753,Yogurt - creamy - see varieties in store,Yogurt
12384,"Refrigerated orange juice, with pulps - View varieties in store - Limit of 4 - $ 3.99 per additional item",Juice
44156,Toothbrush - Extra Clean - Saturday 15 and Sunday 16 September only - Limit of 4 - 99 ¢ The rest of the week or by article out of bound,Toothbrush
15392,"Seasoned fish fillets, frozen - See in store varieties",Fish
46892,Cotton swabs,Cotton Swabs
33825,Frozen waffles - EGGO,Frozen Waffles
43889,Crunchy bars - Special K,Bars
39108,Licorice - NIBS - See Varieties in-store,Herbs
1408,Bocconcini Cheese (Fresh Mozzarella),Cheese
20899,Margarine with lawyer oil,Oil
6587,Collagen - Original Formula,Personal Care
7780,Beer in Extra cans - * Bonus 50 Points M,Beer
10305,"Toilet paper - Saturday, February 16th only - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds",Toilet Paper
35184,PEKOE orange tea in sachets,Tea
43148,Toothbrush - Twister - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit,Toothbrush
38275,Frozen Pizza - rustico,Frozen Pizza
5826,Crunchy peanut butter,Peanut Butter
14870,Cookies - Choco,Cookies
28397,Egg potatoes - from Quebec,Potatoes
13629,Organic Cereals - Nature's Path - See in store varieties,Cereals
19019,Black chocolate snack - BARKTHINS - * BONUS 20 POINTS M,Chocolate Milk
39973,Biological Hass Lawyer - Mexico,
9513,Cereal - Special K,Cereals
403,Antiperspirant vaporizer,Medicine
39693,Fruit juice,Juice
1377,Pure honey,Honey
35336,Grain Coffee - See Varieties in Store - * Bonus 45 Points M,Coffee
9604,Maple Syrup - President's Choice,Maple Syrup
40063,Scented oil - save $ 1 more when buying 1 product with a good-discount in store,Oil
17600,Mined with ham,Ham
36117,Italian tomatoes,Tomatoes
34160,Cookies - weather - see varieties in store,Cookies
47209,Beans - See Varieties In Store,Beans
6571,Garlic Sticks - Giuseppe,Garlic
5006,Antiperspirants - see varieties in store,Medicine
23862,Apple Compote - Free,Apple
6849,U Fitness buffers,
49387,Wholesale whole water melon without glitches - the United States and / or Mexico,Water Melon
18698,"Target - Max - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit",
36848,Lemons,Lemons
14379,Frozen meal - Hungry-man - See in store varieties,Frozen Meal
31101,Yellow Asian Pear - China,Pear
11190,Fresh stuffed pasta,Pasta
16290,Red Potatoes - From Quebec - Canada No 1,Potatoes
13588,Almond Drink - Natur-A,Drinks
42536,Sliced White Mushrooms - Canada,Mushrooms
27117,Almond Butter - Blue Menu,Butter
25904,Chopped chicken - blue menu,Chicken
48742,Turkey skewers with vegetables,Vegetables
30683,Chicken spread,Spread
33919,Toothbrush - twister - see varieties in store,Toothbrush
21131,Frozen pastry - Toaster Strudel - See in store varieties,Frozen pastry
46923,Greenhouse Orange Peppers - Imported,Pepper
27180,Mesclun (mixed lettuce),Lettuce
23461,Ice Cream - Häagen-Dazs,Ice Cream
23203,Refrigerated fruit drink - see varieties in store,Drinks
28199,Fruit snack - fruit,Fruit snack
24165,Jam - Smucker's,Jam
13535,Bars - see varieties in store,Bars
28379,PREPARATION FOR INFANTONS - MORE START More,
24838,Natural peanut butter,Peanut Butter
8573,Cats Food - Friskies - View Varieties in-store,Cats Food
23275,Textile softening in leaves,Laundry Detergent
34668,Instant Rice - See Varieties In Store, Rice
28985,"Organic NAVEL ORANGES, WITHOUT PENSION - United States - * Bonus 10 Points M",Oranges
9020,Frozen chicken breast fillets, Frozen Chicken
29891,Vitamin C - 500 mg,Medicine
15090,Pasta - See Varieties In stock,Pasta
35089,Pork Back Côtes - Lou's,Pork
9810,Ice Sweets - Drumstick,Ice Cream
45562,Pellets - see varieties in store,Fish Food
15153,Honey - President's Choice - See Varieties In Store,Honey
21883,Revitalizer - * Bonus 25 Points M,Personal Care
38777,Litchis - Imported,Litchis
27104,Cookies - Save $ 1 In addition to the purchase of 2 products with a good-discount in store,Cookies
29408,sugar peas snap,sugar
16135,Whipped cream cheese - Philadelphia,Whipped cream cheese
4054,Tipper - Tiger - Limit of 4 - $ 6.99 per additional item,Tipper
21903,Table towels - * Bonus 15 points M,Table towels
33741,Cheese Cake - President's Choice - See Varieties In Store,Cheese Cake
11215,Perfume enhancer for laundry,Perfume
23770,Licorice - Super Nibs - See Varieties In Store,Herbs
6101,Jam - See Variety In Store,Jam
36870,Organic yellow onions,Onions
9230,Frozen Whole Duck - Brome Lake - Category A,Frozen  Duck
12854,Softening textile,Laundry Detergent
33816,Beets,Beetroot
11105,Frozen breast chest nuggets - * Get 100 air miles from buying 3,Frozen Chicken
47465,Barres - Taste Mountain,Food
15078,Eye Tracer - Infallible,Personal Care
31343,Laundry Detergent - Pods,Laundry Detergent
6604,Half Smoked Hair Boneless - Toupie Genre,Half Smoked Hair Boneless
32385,Music squash - in the United States,Music squash
40716,Kaiser breads,Bread
35504,Craped Chicken - Packled Swimming,Chicken
9480,Sure Cream - * Bonus 15 Points M,Cream
2405,Frozen breaded chicken nuggets - pub recipe,Frozen Chicken
2421,Cats Food - Cat Chow - Save $ 1.50,Cats Food
28204,Capillary dye - image,Capillary dye
24303,kaiser bread,Bread
21955,Licorice,Herbs
19097,Red or White Wine - $ 6 Discount on Viniers 3-4 L - See Varieties in-store,Wine
43122,Orange juice,Juice
31997,Milk 2% - Finely filtered,Milk 
18370,Hand cream,Personal Care
703,Body cleaner,Personal Care
18376,"Cookies - Maple Leaf - Buy 2 and get 1 free marshmall bag (454 g), worth $ 2.49.",Cookies
29398,Organic Ground Coffee - See Varieties In Store,Coffee
19706,Mozzarelissima bar,Cheese
21347,paninis,Food
2966,Biscuits - Bear legs - see varieties in store,Biscuits
13838,pineapple,pineapple
44580,vegetable shortening,vegetable
8514,Pickles,Pickles
17309,Rouge delicious apples - from the United States,Apple
48071,Tomatoes - Accents - See varieties in store,Tomatoes
23338,Cookies - Goglu,Cookies
9507,rhubarbes,rhubarbes
32560,Fresh cheese - Minigo - View Varieties in store,Cheese
11041,Fruit snacks - fruit-o-long,Fruit snacks
29350,Refrigerated Juice Mix - Nature Collection,Juice
21938,Ice cream - Cremerie style - See in store varieties,Ice cream
26987,Baby Cookies - Farley's - See Varieties In Store,Cookies
7948,Wafers - see varieties in store,Wafers
39275,"Rice - Uncle Ben's - Save $ 1 - * $ 6.49 Without Coupon - Limit of 1 Coupon by Purchase, By Customer",Rice
13853,Peanut Butter - All Natural,Peanut Butter
38124,Salmon,Fish
2962,Baby Food - See Varieties In Store,Baby Food
35696,Peanut Butter,Peanut Butter
44010,Fruit Drink - View Varieties In Store,Drinks
42254,Submarine breads,Bread
11844,Yogurt - Source - See Varieties in-store,Yogurt
3522,"Refrigerated Cranberry Cocktail - Saturday, July 14th Only - Limit of 4 - $ 3.49 The rest of the week or by item outside the limit",Juice
10157,Batteries - Lower price of the year,Batteries
15112,Vegetable Cocktail - Garden Cocktail,Vegetable
39566,Brown eggs - Gros Caliber,Egg
22034,Peanut Butter - See Varieties In Store,Peanut Butter
12544,Tomato Pastry - See Varieties In Store,Tomato Pastry
42469,Cheese sticks,Cheese
13780,Babies Bok Choy,Baby Food
16743,Frozen meal - Marie Callender's,Frozen Meal
21288,Tea - Saturday 18th and Sunday 19 January alone - Limit of 4 - $ 4.99 per additional item - $ 4.99 The rest of the week,Tea
42701,Tissue Paper - Unnamed - Saturday 28th and Sunday 29 September only.- limit of 4 - $ 4.99 the rest of the week or by item outside the limit,Tissue Paper
48364,Gas Drink - Coke - See Varieties in Store - 50% off,Juice
25256,Boneless turkey chest without skin - from Quebec,Turkey 
24506,Toothbrush - Extra Clean - Saturday 5th and Sunday January 6th - Limit of 4 - 99 ¢ The rest of the week or by article out of bounds,Toothbrush
9444,Hygienic paper - Fluff,Toilet paper
35221,Sardines,Fish
32003,Black Forest Smoked Ham Without Nitrite Sliced,Ham
46129,Plastic Film - Unnamed,Plastic Film
16174,Energy Bar - See Varieties In Store,Bars
49520,Batteries - max,Batteries
40232,Soup Mix - Lipton,Soup Mix
16737,Preparation for infants A + 2,Baby Food
30407,Mushrooms Carnesses - Canada and / or the United States,mushrooms
1808,Honey - Unnamed,Honey
15689,Frozen Pizza - Trabec,Frozen Pizza
45960,Biological hummus - humm!- View varieties in store,Hummus
14689,Candy - Werther's original,Chocolate
7769,Artesian water,Water
48057,Cheese - Sir Laurier d'Arthabaska,Cheese
20277,Green cabbage - from Quebec - Canada # 1,Cabbage
27735,Jam - Smucker's - * Bonus 15 Points M,Jam
8006,Crunchy bars,Bars
11768,Plates,Plates
27620,Slim Frozen Butter Chicken Pizza - Worldwide Flavors - See Varieties in Store,Frozen Pizza
26487,Coffee Cartridges - Unnamed - See Varieties In Store,Coffee
2225,"Toothbrush - Extra Clean - Saturday, August 31 only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit",Toothbrush
42650,Red Peppers of Fields - Quebec - 50% off,Peppers
41690,Coffee in K-Cup buckets - McCafe,Coffee
20785,nectarines,nectarines
6385,Refrigerated Beverage - Oasis Morning - See Varieties In Store,Juice
39815,Capillary Products - Whole Blends - See Varieties in-store,Stationary
29616,Chopped of turkey chest,turkey 
