id,unique_id
23645,23645
32406,32406
45866,45866
25407,25407
11777,11777
7559,7559
44830,44830
41500,41500
27845,27845
17871,17871
28939,28939
2809,45866
3145,3145
47337,47337
3466,3466
9071,9071
18960,18960
21137,21137
18229,18229
37817,37817
15261,15261
47766,47766
3390,3390
44359,44359
36062,36062
15850,15850
47167,47167
19519,19519
33787,33787
16043,16043
27642,27642
17948,17948
34255,34255
24852,24852
42265,42265
30440,30440
43935,43935
4957,4957
36554,45866
10418,10418
31650,31650
21709,21709
13829,13829
19980,19980
31678,31678
24615,24615
38747,19980
43901,43901
15005,15005
12845,45866
30841,30841
11741,11741
34584,34584
37042,37042
39764,39764
13213,13213
36676,36676
17566,17566
3599,19980
12811,12811
32667,32667
19778,19778
25753,25753
12384,12384
44156,44156
15392,15392
46892,46892
33825,33825
43889,43889
18765,3145
39108,39108
1408,1408
40199,3145
20899,20899
6587,6587
7780,7780
38884,32406
10305,10305
35184,35184
43148,43148
38275,38275
5826,5826
14870,14870
28397,28397
13629,13629
19019,19019
39973,39973
9513,9513
403,403
39693,39693
1377,1377
35336,35336
9604,9604
48486,43889
40063,40063
17600,17600
36117,36117
34160,34160
47209,47209
6571,6571
5006,5006
23862,23862
6849,6849
49387,49387
18698,18698
36848,36848
14379,14379
31101,31101
11190,11190
16290,16290
13588,13588
16254,19980
42536,42536
27117,27117
25904,25904
48742,48742
30683,30683
21206,16290
33919,33919
21131,21131
6388,21131
46923,46923
27180,27180
10644,32406
23461,23461
23203,23203
7897,23862
28289,3145
28199,28199
24165,24165
13535,13535
28379,28379
24838,24838
8573,8573
26029,43889
23275,23275
34668,34668
28985,28985
9020,9020
29891,29891
15090,15090
35089,35089
9810,9810
45562,45562
15153,15153
21883,21883
38777,38777
27104,27104
29408,29408
26182,15261
16135,16135
28411,33825
4054,4054
21903,21903
44354,29891
33741,33741
11215,11215
23770,23770
6101,6101
36870,36870
36379,19519
9230,9230
12854,12854
33816,33816
11105,11105
47465,47465
15078,15078
28278,15078
31343,31343
6604,6604
32385,32385
3066,31343
40716,40716
35504,35504
9480,9480
2405,2405
25199,25407
2421,2421
28204,28204
24527,16290
24303,24303
21955,21955
19097,19097
43122,43122
31997,31997
18370,18370
703,703
33620,3145
8424,3145
18376,18376
29398,29398
19706,19706
9210,3145
21347,21347
2966,2966
13838,13838
44580,44580
7041,14870
8514,8514
17309,17309
48071,48071
23338,23338
9507,9507
32560,32560
11041,11041
29350,29350
21938,21938
37436,45866
26987,26987
7948,7948
39275,39275
13853,13853
16445,19519
38124,38124
2962,2962
35696,35696
44010,44010
42254,42254
11844,11844
13053,19980
2439,5006
3522,3522
10157,10157
13431,15005
15112,15112
43294,13853
39566,39566
22034,22034
12544,12544
42469,42469
13780,13780
40180,18960
27828,38275
16743,16743
21288,21288
42701,42701
48364,48364
25256,25256
24506,24506
9444,9444
44501,5006
35221,35221
32003,32003
46129,46129
16174,16174
49520,49520
40232,40232
16737,16737
30407,30407
1808,1808
15689,15689
45960,45960
14689,14689
7769,7769
13194,19980
25133,18370
48057,48057
20277,20277
27735,27735
8006,8006
11768,11768
44182,3145
12644,3145
30855,15005
27620,27620
26487,26487
2225,2225
42650,42650
41690,41690
18594,31343
3485,39108
20785,20785
49140,19980
6385,6385
39815,39815
29616,29616
20738,20738
28671,28671
27243,23338
48047,48047
31187,17600
8368,8368
35065,39108
22624,38777
38259,34668
40067,40067
24617,24617
15703,15703
5760,5760
42458,42458
34256,34256
577,577
28342,28342
34282,34282
15285,15285
18371,18371
45061,17948
25309,25309
20705,48742
28137,17948
49424,49424
39201,39201
15063,15063
24970,24970
48498,48498
48812,48812
47728,47728
25758,25758
29316,39764
10132,10132
47258,47258
32463,32463
26034,19980
38311,38311
42447,16290
26248,36848
1612,1612
48923,33825
1751,1751
37947,37947
27522,27522
36389,36389
7285,7285
37050,39566
25190,44830
3464,3464
30945,30945
14814,14814
29980,32003
24866,24866
13396,13396
23752,19519
44508,44508
31986,31986
19111,19111
36853,36853
45832,45832
31326,32406
24929,24929
25588,25588
4086,4086
26278,16737
35140,3145
2187,2187
5462,5462
42617,15063
38920,38920
49353,49353
43086,43086
42341,42341
9467,32003
49074,48047
12046,24165
27226,43901
3334,3334
26271,26271
21198,21198
18304,18304
12228,48047
34557,34557
18849,18849
44035,44035
15767,15767
5073,5073
49260,16290
32927,15063
12380,12380
42333,23645
47216,47216
14742,14742
39661,39661
43597,43597
32782,32782
31392,31392
46143,32003
48182,48182
44337,17309
35855,35855
40778,40778
1516,17948
38159,38159
2050,2050
27043,32003
42858,42858
42444,42444
48629,48629
48874,48874
26738,26738
10999,10999
16481,43889
4462,28342
33113,33113
28230,15689
48706,48706
17640,17640
5971,5971
12034,48047
36716,36716
40390,40390
47601,47601
45099,47337
13819,13819
22927,22927
5575,5575
15528,13853
30967,30967
41711,41711
23749,23749
9413,9413
25890,25890
9366,9366
15649,21938
10314,16290
46709,46709
19049,19049
42969,42969
4896,4896
18634,15005
37565,3145
8048,8048
21577,21577
16507,16507
31778,31778
47937,47937
26771,26771
40113,40113
4232,39108
46380,46380
33095,3145
49416,17948
47585,9444
10549,10549
27315,45866
42274,5006
756,756
47783,47783
9989,9989
15816,39973
32839,32839
39276,39276
40756,39108
37630,37630
2077,36848
67,15005
39557,39557
8311,8311
45747,45747
17341,17341
26209,26209
33731,37042
37880,37880
30753,21955
4541,4541
7933,36853
14043,14043
13470,13470
7293,7293
5359,5359
35496,35496
19875,19875
29387,2187
24190,24190
21663,36848
32466,32466
30919,33825
16226,16226
8414,3145
24955,43901
23126,23126
25464,25464
22451,22451
23650,15090
4298,4298
45372,36848
16709,16709
20704,20704
27272,13819
17003,34160
47570,47570
45761,45761
46979,46979
27126,43901
41819,41819
31423,31423
38212,38212
5224,19519
46736,5006
1376,49424
10814,10814
7556,7556
21019,21019
3526,16290
29182,15703
35091,35091
10423,29891
16920,16920
41003,41003
27897,27897
4445,4445
42840,42840
33216,37630
39984,39984
24084,24084
20607,20607
37002,7559
26568,26568
28080,45562
4039,4039
30257,30257
37717,23862
33718,33718
21567,21567
12258,12258
20794,27117
35951,3145
9755,9755
27966,38777
13857,13857
29646,29646
24673,15063
26063,39764
26803,15063
2198,15063
15498,9513
8352,8352
2335,2335
13810,6385
48183,48183
6506,6506
46060,46060
3974,3974
920,920
9499,9499
18906,5006
36906,36906
29103,29103
19240,12811
5296,9444
42671,40778
46692,46692
20781,20781
20428,20428
37696,37696
3556,3556
9474,9474
37354,18304
17731,15063
24283,32406
39890,39890
32407,32407
44329,44329
23273,23273
46184,46184
49155,31392
48112,48112
16137,9513
10343,10343
38730,45866
6891,6891
36129,15090
17260,19519
26905,32003
46058,46058
4391,4391
4332,4332
36643,36643
13027,13027
12562,12562
27365,27365
15591,15591
42643,42643
15333,15333
881,46184
39017,39017
32665,32665
11758,33825
27105,21955
18352,18352
20608,5826
28811,39764
2988,9444
38368,38368
8926,8926
10251,10251
40287,9444
188,188
9554,23273
16797,16797
16349,16349
11193,11193
7905,7905
22308,22308
27380,27380
8710,26271
18200,18200
4600,4600
49589,46184
3050,25464
15207,15207
10310,10310
7500,44830
37158,37158
32865,44830
4898,4898
4037,4037
16518,16518
45566,45566
8755,8755
23181,23181
28806,28806
42283,39890
48035,48035
41637,44830
37464,28397
47734,28204
29987,37042
16038,49424
10210,3145
23043,23043
45249,27735
48114,48035
32734,21955
31618,4298
7807,39973
6664,6664
32096,32096
35997,13396
24622,24622
43772,3145
21124,42254
19354,19354
11404,11404
12986,12986
37865,37865
36034,35696
19022,29103
4799,37042
35909,5971
49495,46184
34257,2187
47866,47866
20526,15063
