id,clean_name
23645,Refrigerated fruit juice
32406,Hygienic buffers
45866,Disinfecting wipes
25407,mango
11777,Laundry
7559,Chewing gum
44830,Spread
41500,feta cheese
27845,Capillary Products
17871,Cabbage salad
28939,Chocolate milk
2809,Disinfecting wipes
3145,Ice Cream With Vanilla
47337,Acetaminophen
3466,Bars
9071,"Charcuterie, Bologna"
18960,Ice Sweets
21137,Chips
18229,sports drink
37817,Greek Yogurt
15261,English muffins
47766,Pale tuna Listao
3390,Green Organic Beard
44359,Drain opener
36062,Frozen Pork Back Côtes
15850,Fruit Drink
47167,Ice Cream
19519,Laundry Detergent
33787,Frozen pork back ribs
16043,Marmalade
27642,Ice cream bars
17948,Acetaminophen
34255,Frozen Calzones
24852,Toothpaste
42265,Powder preparation for infants
30440,Vegetable potato chips
43935,Bagelwichs
4957,Nibrants
36554,Disinfecting wipes
10418,Frozen Dinner
31650,Flavored milk
21709,Jam
13829,Cheese
19980,Refrigerated dessert
31678,Large Frozen Cooked Foods
24615,Juices
38747,Refrigerated dessert
43901,Chocolate
15005,Honey
12845,Disinfecting wipes
30841,minced pork
11741,Chocolate milk 1%
34584,Potatoes
37042,CREAM 10%
39764,Frozen duck
13213,Coffee Capsules
36676,"White eggs, big caliber"
17566,"salmon, net, fresh"
3599,Refrigerated dessert
12811,Fruit Drink
32667,Deodorant
19778,Biological mature
25753,Yogurt
12384,"Refrigerated orange juice, with pulps"
44156,Toothbrush
15392,"Seasoned fish fillets, frozen"
46892,Cotton swabs
33825,Frozen waffles
43889,Crunchy bars
18765,Ice Cream With Vanilla
39108,Licorice
1408,Bocconcini Cheese (Fresh Mozzarella)
40199,Ice Cream With Vanilla
20899,Margarine with lawyer oil
6587,Collagen
7780,Beer in Extra cans
38884,Hygienic buffers
10305,Toilet paper
35184,PEKOE orange tea in sachets
43148,Toothbrush
38275,Frozen thin crust pizza
5826,Crunchy peanut butter
14870,Cookies
28397,White potatoes
13629,Organic Cereals
19019,Black chocolate snack
39973,Biological Hass Lawyer
9513,Cereal
403,Antiperspirant vaporizer
39693,Fruit juice
1377,Pure honey
35336,Grain Coffee
9604,Maple Syrup
48486,Crunchy bars
40063,Scented oil
