id,name,general_name,general_name_refined
23645,Refrigerated fruit juice - see varieties in store,juice,juice
32406,Hygienic buffers - Pearl,hygiene product,hygiene product
45866,Disinfecting wipes,cleaning product,cleaning product
25407,mango,fruit,fruit
11777,Laundry,laundry,laundry
7559,Chewing gum,various,various
44830,Spread,various,various
41500,feta cheese,cheese,cheese
27845,Capillary Products - Fruits,various,various
17871,Cabbage salad - * Bonus 15 points M,various,various
28939,Chocolate milk - Quebec - See in store varieties,various,various
2809,Disinfecting wipes,cleaning product,cleaning product
3145,Ice Cream With Vanilla,various,ice cream
47337,"Acetaminophen - Complete - Cold, Cough and Influenza",various,various
3466,Bars - Maxi Max,bar,bar
9071,"Charcuterie, Bologna",various,various
18960,Ice Sweets - Drumstick - View Varieties in-store,ice cream,ice cream
21137,"Chips - Saturday, November 16th only - Limit of 4",chip,chip
18229,sports drink,various,various
37817,Greek Yogurt - * 100 Points Bonus M In Buy 2,yogurt,yogurt
15261,English muffins,various,various
47766,Pale tuna Listao,tuna,tuna
3390,Green Organic Beard - US,various,various
44359,Drain opener,various,various
36062,Frozen Pork Back Côtes - Save $ 5.11,various,various
15850,Fruit Drink - Unnamed - See Varieties In Store,various,various
47167,Ice Cream - Real Cream - See Varieties In Store,various,ice cream
19519,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry,laundry
33787,Frozen pork back ribs,various,various
16043,Marmalade - Buy 2 and get 1 FREE 1 peanut butter (500 g),various,various
27642,Ice cream bars - see varieties in store,bar,bar
17948,Acetaminophen - Regular 325 mg,various,various
34255,Frozen Calzones - See Varieties in-store,various,various
24852,Toothpaste - Sensitive - Sunday 29th and Monday 30 December only - Limit of 4 - $ 2.99 per additional item,various,various
42265,Powder preparation for infants - see varieties in store,various,various
30440,Vegetable potato chips - See varieties in store,chip,chip
43935,Bagelwichs - Best Prices year,various,various
4957,Nibrants - See Varieties In store,various,various
36554,Disinfecting wipes,cleaning product,cleaning product
10418,Frozen Dinner - O 'Sole Mio - See Varieties In Store,various,various
31650,Flavored milk,various,various
21709,Jam - Pure - View Varieties in store,various,various
13829,Cheese - 40% off,cheese,cheese
19980,Refrigerated dessert,various,various
31678,Large Frozen Cooked Foods - President's Choice - See Varieties In-store,various,various
24615,Juices - Nutrisource,juice,juice
38747,Refrigerated dessert,various,various
43901,Chocolate,various,various
15005,Honey,various,various
12845,Disinfecting wipes,cleaning product,cleaning product
30841,minced pork,various,various
11741,Chocolate milk 1%,various,various
34584,Potatoes - Quebec,various,various
37042,CREAM 10%,various,various
39764,Frozen duck - Category Utility,various,various
13213,Coffee Capsules - Nabob - View Varieties In Store,various,various
36676,"White eggs, big caliber - lower price of the year",various,various
17566,"salmon, net, fresh",various,various
3599,Refrigerated dessert,various,various
12811,Fruit Drink - See Varieties In Store,various,various
32667,Deodorant,various,various
19778,Biological mature - the United States and / or Mexico,various,various
25753,Yogurt - creamy - see varieties in store,yogurt,yogurt
12384,"Refrigerated orange juice, with pulps - View varieties in store - Limit of 4 - $ 3.99 per additional item",juice,juice
44156,Toothbrush - Extra Clean - Saturday 15 and Sunday 16 September only - Limit of 4 - 99 ¢ The rest of the week or by article out of bound,various,various
15392,"Seasoned fish fillets, frozen - See in store varieties",various,various
46892,Cotton swabs,various,various
33825,Frozen waffles - EGGO,various,various
43889,Crunchy bars - Special K,bar,bar
18765,Ice Cream With Vanilla,various,ice cream
39108,Licorice - NIBS - See Varieties in-store,various,various
1408,Bocconcini Cheese (Fresh Mozzarella),cheese,cheese
40199,Ice Cream With Vanilla,various,ice cream
20899,Margarine with lawyer oil,various,various
6587,Collagen - Original Formula,various,various
7780,Beer in Extra cans - * Bonus 50 Points M,various,various
38884,Hygienic buffers - Pearl,hygiene product,hygiene product
10305,"Toilet paper - Saturday, February 16th only - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds",various,various
35184,PEKOE orange tea in sachets,various,various
43148,Toothbrush - Twister - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit,various,various
38275,Frozen thin crust pizza - rustico,pizza,pizza
5826,Crunchy peanut butter,various,various
14870,Cookies - Choco,various,various
28397,White potatoes - from Quebec,various,various
13629,Organic Cereals - Nature's Path - See in store varieties,various,various
19019,Black chocolate snack - BARKTHINS - * BONUS 20 POINTS M,bar,bar
39973,Biological Hass Lawyer - Mexico,various,various
9513,Cereal - Special K,various,various
403,Antiperspirant vaporizer,various,various
39693,Fruit juice,juice,juice
1377,Pure honey,various,various
35336,Grain Coffee - See Varieties in Store - * Bonus 45 Points M,various,various
9604,Maple Syrup - President's Choice,various,various
48486,Crunchy bars - Special K,bar,bar
40063,Scented oil - save $ 1 more when buying 1 product with a good-discount in store,various,various
17600,Mined with ham,various,various
36117,Italian tomatoes,various,various
34160,Cookies - weather - see varieties in store,various,various
47209,Beans - See Varieties In Store,various,various
6571,Garlic Sticks - Giuseppe,various,various
5006,Antiperspirants - see varieties in store,various,various
23862,Apple Compote - Free,various,various
6849,U Fitness buffers,hygiene product,hygiene product
49387,Wholesale whole water melon without glitches - the United States and / or Mexico,various,various
18698,"Target - Max - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit",various,various
36848,Lemons,various,various
14379,Frozen meal - Hungry-man - See in store varieties,various,various
31101,Yellow Asian Pear - China,various,various
11190,Fresh stuffed pasta,various,various
16290,Red Potatoes - From Quebec - Canada No 1,various,various
13588,Almond Drink - Natur-A,various,various
16254,Refrigerated dessert,various,various
42536,Sliced White Mushrooms - Canada,various,various
27117,Almond Butter - Blue Menu,various,various
25904,Chopped chicken - blue menu,various,various
48742,Turkey skewers with vegetables,various,various
30683,Chicken spread,various,various
21206,Red Potatoes - From Quebec - Canada No 1,various,various
33919,Toothbrush - twister - see varieties in store,various,various
21131,Frozen pastry - Toaster Strudel - See in store varieties,various,various
6388,Frozen pastry - Toaster Strudel - See in store varieties,various,various
46923,Greenhouse Orange Peppers - Imported,various,various
27180,Mesclun (mixed lettuce),various,various
10644,Hygienic buffers - Pearl,hygiene product,hygiene product
23461,Ice Cream - Häagen-Dazs,various,ice cream
23203,Refrigerated fruit drink - see varieties in store,various,various
7897,Apple Compote - Free,various,various
28289,Ice Cream With Vanilla,various,ice cream
28199,Fruit snack - fruit,various,various
24165,Jam - Smucker's,various,various
13535,Bars - see varieties in store,bar,bar
28379,PREPARATION FOR INFANTONS - MORE START More,various,various
24838,Natural peanut butter,various,various
8573,Cats Food - Friskies - View Varieties in-store,various,various
26029,Crunchy bars - Special K,bar,bar
23275,Textile softening in leaves,various,various
34668,Instant Rice - See Varieties In Store,various,various
28985,"Organic NAVEL ORANGES, WITHOUT PENSION - United States - * Bonus 10 Points M",various,various
9020,Frozen chicken breast fillets,various,various
29891,Vitamin C - 500 mg,various,various
15090,Pasta - See Varieties In stock,various,various
35089,Pork Back Côtes - Lou's,various,various
9810,Ice Sweets - Drumstick,ice cream,ice cream
45562,Pellets - see varieties in store,various,various
15153,Honey - President's Choice - See Varieties In Store,various,various
21883,Revitalizer - * Bonus 25 Points M,various,various
38777,Litchis - Imported,various,various
27104,Cookies - Save $ 1 In addition to the purchase of 2 products with a good-discount in store,various,various
29408,sugar peas snap,various,various
26182,English muffins,various,various
16135,Whipped cream cheese - Philadelphia,cheese,cheese
28411,Frozen waffles - EGGO,various,various
4054,Tipper - Tiger - Limit of 4 - $ 6.99 per additional item,various,various
21903,Table towels - * Bonus 15 points M,various,various
44354,Vitamin C - 500 mg,various,various
33741,Cheese Cake - President's Choice - See Varieties In Store,cake,cake
11215,Perfume enhancer for laundry,laundry,laundry
23770,Licorice - Super Nibs - See Varieties In Store,various,various
6101,Jam - See Variety In Store,various,various
36870,Organic yellow onions,various,various
36379,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry,laundry
9230,Frozen Whole Duck - Brome Lake - Category A,various,various
12854,Softening textile,various,various
33816,Beets,various,various
11105,Frozen breast chest nuggets - * Get 100 air miles from buying 3,various,various
47465,Barres - Taste Mountain,bar,bar
15078,Eye Tracer - Infallible,various,various
28278,Eye Tracer - Infallible,various,various
31343,Laundry Detergent - Pods,laundry,laundry
6604,Half Smoked Hair Boneless - Toupie Genre,various,various
32385,Music squash - in the United States,various,various
3066,Laundry Detergent - Pods,laundry,laundry
40716,Kaiser breads,various,various
35504,Craped Chicken - Packled Swimming,various,various
9480,Sure Cream - * Bonus 15 Points M,various,various
2405,Frozen breaded chicken nuggets - pub recipe,various,various
25199,mango,fruit,fruit
2421,Cats Food - Cat Chow - Save $ 1.50,various,various
28204,Capillary dye - image,various,various
24527,Red Potatoes - From Quebec - Canada No 1,various,various
24303,kaiser bread,various,various
21955,Licorice,various,various
19097,Red or White Wine - $ 6 Discount on Viniers 3-4 L - See Varieties in-store,various,various
43122,Orange juice,juice,juice
31997,Milk 2% - Finely filtered,various,various
18370,Hand cream,various,various
