id,name,final_specific_general_term
23645,Refrigerated fruit juice - see varieties in store,review needed
32406,Hygienic buffers - Pearl,review needed
45866,Disinfecting wipes,review needed
25407,mango,review needed
11777,Laundry,review needed
7559,Chewing gum,review needed
44830,Spread,review needed
41500,feta cheese,review needed
27845,Capillary Products - Fruits,review needed
17871,Cabbage salad - * Bonus 15 points M,review needed
28939,Chocolate milk - Quebec - See in store varieties,review needed
2809,Disinfecting wipes,review needed
3145,Ice Cream With Vanilla,review needed
47337,"Acetaminophen - Complete - Cold, Cough and Influenza",medicine
3466,Bars - Maxi Max,review needed
9071,"Charcuterie, Bologna",review needed
18960,Ice Sweets - Drumstick - View Varieties in-store,review needed
21137,"Chips - Saturday, November 16th only - Limit of 4",review needed
18229,sports drink,review needed
37817,Greek Yogurt - * 100 Points Bonus M In Buy 2,review needed
15261,English muffins,review needed
47766,Pale tuna Listao,review needed
3390,Green Organic Beard - US,review needed
44359,Drain opener,review needed
36062,Frozen Pork Back Côtes - Save $ 5.11,review needed
15850,Fruit Drink - Unnamed - See Varieties In Store,review needed
47167,Ice Cream - Real Cream - See Varieties In Store,review needed
19519,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,review needed
33787,Frozen pork back ribs,review needed
16043,Marmalade - Buy 2 and get 1 FREE 1 peanut butter (500 g),review needed
27642,Ice cream bars - see varieties in store,review needed
17948,Acetaminophen - Regular 325 mg,medicine
34255,Frozen Calzones - See Varieties in-store,review needed
24852,Toothpaste - Sensitive - Sunday 29th and Monday 30 December only - Limit of 4 - $ 2.99 per additional item,review needed
42265,Powder preparation for infants - see varieties in store,review needed
30440,Vegetable potato chips - See varieties in store,review needed
43935,Bagelwichs - Best Prices year,review needed
4957,Nibrants - See Varieties In store,review needed
36554,Disinfecting wipes,review needed
10418,Frozen Dinner - O 'Sole Mio - See Varieties In Store,review needed
31650,Flavored milk,review needed
21709,Jam - Pure - View Varieties in store,jam
13829,Cheese - 40% off,review needed
19980,Refrigerated dessert,review needed
31678,Large Frozen Cooked Foods - President's Choice - See Varieties In-store,review needed
24615,Juices - Nutrisource,review needed
38747,Refrigerated dessert,review needed
43901,Chocolate,review needed
15005,Honey,review needed
12845,Disinfecting wipes,review needed
30841,minced pork,review needed
11741,Chocolate milk 1%,review needed
34584,Potatoes - Quebec,review needed
37042,CREAM 10%,review needed
