id,name,general_name
23645,Refrigerated fruit juice - see varieties in store,juice
32406,Hygienic buffers - Pearl,hygienic
45866,Disinfecting wipes,wipes
25407,mango,mango
11777,Laundry,laundry
7559,Chewing gum,chewing
44830,Spread,spread
41500,feta cheese,cheese
27845,Capillary Products - Fruits,fruit
17871,Cabbage salad - * Bonus 15 points M,cabbage
28939,Chocolate milk - Quebec - See in store varieties,chocolate
2809,Disinfecting wipes,wipes
3145,Ice Cream With Vanilla,ice cream
47337,"Acetaminophen - Complete - Cold, Cough and Influenza",acetaminophen
3466,Bars - Maxi Max,bar
9071,"Charcuterie, Bologna","charcuterie,"
18960,Ice Sweets - Drumstick - View Varieties in-store,ice
21137,"Chips - Saturday, November 16th only - Limit of 4",chip
18229,sports drink,sports
37817,Greek Yogurt - * 100 Points Bonus M In Buy 2,yogurt
15261,English muffins,english
47766,Pale tuna Listao,tuna
3390,Green Organic Beard - US,green
44359,Drain opener,drain
36062,Frozen Pork Back Côtes - Save $ 5.11,frozen
15850,Fruit Drink - Unnamed - See Varieties In Store,fruit
47167,Ice Cream - Real Cream - See Varieties In Store,ice cream
19519,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry
33787,Frozen pork back ribs,frozen
16043,Marmalade - Buy 2 and get 1 FREE 1 peanut butter (500 g),marmalade
27642,Ice cream bars - see varieties in store,bar
17948,Acetaminophen - Regular 325 mg,acetaminophen
34255,Frozen Calzones - See Varieties in-store,frozen
24852,Toothpaste - Sensitive - Sunday 29th and Monday 30 December only - Limit of 4 - $ 2.99 per additional item,toothpaste
42265,Powder preparation for infants - see varieties in store,powder
30440,Vegetable potato chips - See varieties in store,chip
43935,Bagelwichs - Best Prices year,bagelwichs
4957,Nibrants - See Varieties In store,nibrants
36554,Disinfecting wipes,wipes
10418,Frozen Dinner - O 'Sole Mio - See Varieties In Store,frozen
31650,Flavored milk,flavored
21709,Jam - Pure - View Varieties in store,jam
13829,Cheese - 40% off,cheese
19980,Refrigerated dessert,refrigerated
31678,Large Frozen Cooked Foods - President's Choice - See Varieties In-store,large
24615,Juices - Nutrisource,juice
38747,Refrigerated dessert,refrigerated
43901,Chocolate,chocolate
15005,Honey,honey
12845,Disinfecting wipes,wipes
30841,minced pork,minced
11741,Chocolate milk 1%,chocolate
34584,Potatoes - Quebec,potatoes
37042,CREAM 10%,cream
39764,Frozen duck - Category Utility,frozen
13213,Coffee Capsules - Nabob - View Varieties In Store,coffee
36676,"White eggs, big caliber - lower price of the year",white
17566,"salmon, net, fresh","salmon,"
3599,Refrigerated dessert,refrigerated
12811,Fruit Drink - See Varieties In Store,fruit
32667,Deodorant,deodorant
19778,Biological mature - the United States and / or Mexico,biological
25753,Yogurt - creamy - see varieties in store,yogurt
12384,"Refrigerated orange juice, with pulps - View varieties in store - Limit of 4 - $ 3.99 per additional item",juice
44156,Toothbrush - Extra Clean - Saturday 15 and Sunday 16 September only - Limit of 4 - 99 ¢ The rest of the week or by article out of bound,toothbrush
15392,"Seasoned fish fillets, frozen - See in store varieties",seasoned
46892,Cotton swabs,cotton
33825,Frozen waffles - EGGO,frozen
43889,Crunchy bars - Special K,bar
18765,Ice Cream With Vanilla,ice cream
39108,Licorice - NIBS - See Varieties in-store,licorice
1408,Bocconcini Cheese (Fresh Mozzarella),cheese
40199,Ice Cream With Vanilla,ice cream
20899,Margarine with lawyer oil,margarine
6587,Collagen - Original Formula,collagen
7780,Beer in Extra cans - * Bonus 50 Points M,beer
38884,Hygienic buffers - Pearl,hygienic
10305,"Toilet paper - Saturday, February 16th only - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds",toilet
35184,PEKOE orange tea in sachets,pekoe
43148,Toothbrush - Twister - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit,toothbrush
38275,Frozen thin crust pizza - rustico,pizza
5826,Crunchy peanut butter,crunchy
14870,Cookies - Choco,cookies
28397,White potatoes - from Quebec,white
13629,Organic Cereals - Nature's Path - See in store varieties,organic
19019,Black chocolate snack - BARKTHINS - * BONUS 20 POINTS M,bar
39973,Biological Hass Lawyer - Mexico,biological
9513,Cereal - Special K,cereal
403,Antiperspirant vaporizer,antiperspirant
39693,Fruit juice,juice
1377,Pure honey,pure
35336,Grain Coffee - See Varieties in Store - * Bonus 45 Points M,grain
9604,Maple Syrup - President's Choice,maple
48486,Crunchy bars - Special K,bar
40063,Scented oil - save $ 1 more when buying 1 product with a good-discount in store,scented
17600,Mined with ham,mined
36117,Italian tomatoes,italian
34160,Cookies - weather - see varieties in store,cookies
47209,Beans - See Varieties In Store,beans
6571,Garlic Sticks - Giuseppe,garlic
5006,Antiperspirants - see varieties in store,antiperspirants
23862,Apple Compote - Free,apple
6849,U Fitness buffers,u
49387,Wholesale whole water melon without glitches - the United States and / or Mexico,wholesale
18698,"Target - Max - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit",target
36848,Lemons,lemons
14379,Frozen meal - Hungry-man - See in store varieties,frozen
31101,Yellow Asian Pear - China,yellow
11190,Fresh stuffed pasta,fresh
16290,Red Potatoes - From Quebec - Canada No 1,red
13588,Almond Drink - Natur-A,almond
16254,Refrigerated dessert,refrigerated
42536,Sliced White Mushrooms - Canada,sliced
27117,Almond Butter - Blue Menu,almond
25904,Chopped chicken - blue menu,chopped
48742,Turkey skewers with vegetables,turkey
30683,Chicken spread,chicken
21206,Red Potatoes - From Quebec - Canada No 1,red
33919,Toothbrush - twister - see varieties in store,toothbrush
21131,Frozen pastry - Toaster Strudel - See in store varieties,frozen
6388,Frozen pastry - Toaster Strudel - See in store varieties,frozen
46923,Greenhouse Orange Peppers - Imported,greenhouse
27180,Mesclun (mixed lettuce),mesclun
10644,Hygienic buffers - Pearl,hygienic
23461,Ice Cream - Häagen-Dazs,ice cream
23203,Refrigerated fruit drink - see varieties in store,fruit
7897,Apple Compote - Free,apple
28289,Ice Cream With Vanilla,ice cream
28199,Fruit snack - fruit,fruit
24165,Jam - Smucker's,jam
13535,Bars - see varieties in store,bar
28379,PREPARATION FOR INFANTONS - MORE START More,preparation
24838,Natural peanut butter,natural
8573,Cats Food - Friskies - View Varieties in-store,cats
26029,Crunchy bars - Special K,bar
23275,Textile softening in leaves,textile
34668,Instant Rice - See Varieties In Store,instant
28985,"Organic NAVEL ORANGES, WITHOUT PENSION - United States - * Bonus 10 Points M",organic
9020,Frozen chicken breast fillets,frozen
29891,Vitamin C - 500 mg,vitamin
15090,Pasta - See Varieties In stock,pasta
35089,Pork Back Côtes - Lou's,pork
9810,Ice Sweets - Drumstick,ice
45562,Pellets - see varieties in store,pellets
15153,Honey - President's Choice - See Varieties In Store,honey
21883,Revitalizer - * Bonus 25 Points M,revitalizer
38777,Litchis - Imported,litchis
27104,Cookies - Save $ 1 In addition to the purchase of 2 products with a good-discount in store,cookies
29408,sugar peas snap,sugar
26182,English muffins,english
16135,Whipped cream cheese - Philadelphia,cheese
28411,Frozen waffles - EGGO,frozen
4054,Tipper - Tiger - Limit of 4 - $ 6.99 per additional item,tipper
21903,Table towels - * Bonus 15 points M,table
44354,Vitamin C - 500 mg,vitamin
33741,Cheese Cake - President's Choice - See Varieties In Store,cake
11215,Perfume enhancer for laundry,laundry
23770,Licorice - Super Nibs - See Varieties In Store,licorice
6101,Jam - See Variety In Store,jam
36870,Organic yellow onions,organic
36379,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry
9230,Frozen Whole Duck - Brome Lake - Category A,frozen
12854,Softening textile,softening
33816,Beets,beets
11105,Frozen breast chest nuggets - * Get 100 air miles from buying 3,frozen
47465,Barres - Taste Mountain,bar
15078,Eye Tracer - Infallible,eye
28278,Eye Tracer - Infallible,eye
31343,Laundry Detergent - Pods,laundry
6604,Half Smoked Hair Boneless - Toupie Genre,half
32385,Music squash - in the United States,music
3066,Laundry Detergent - Pods,laundry
40716,Kaiser breads,kaiser
35504,Craped Chicken - Packled Swimming,craped
9480,Sure Cream - * Bonus 15 Points M,sure
2405,Frozen breaded chicken nuggets - pub recipe,frozen
25199,mango,mango
2421,Cats Food - Cat Chow - Save $ 1.50,cats
28204,Capillary dye - image,capillary
24527,Red Potatoes - From Quebec - Canada No 1,red
24303,kaiser bread,kaiser
21955,Licorice,licorice
19097,Red or White Wine - $ 6 Discount on Viniers 3-4 L - See Varieties in-store,red
43122,Orange juice,juice
31997,Milk 2% - Finely filtered,milk
18370,Hand cream,hand
703,Body cleaner,body
33620,Ice Cream With Vanilla,ice cream
8424,Ice Cream With Vanilla,ice cream
18376,"Cookies - Maple Leaf - Buy 2 and get 1 free marshmall bag (454 g), worth $ 2.49.",cookies
29398,Organic Ground Coffee - See Varieties In Store,organic
19706,Mozzarelissima bar,bar
9210,Ice Cream With Vanilla,ice cream
21347,paninis,paninis
2966,Biscuits - Bear legs - see varieties in store,biscuits
13838,pineapple,pineapple
44580,vegetable shortening,vegetable
7041,Cookies - Choco,cookies
8514,Pickles,pickles
