id,name,general_name
23645,Refrigerated fruit juice - see varieties in store,juice
32406,Hygienic buffers - Pearl,hygiene product
45866,Disinfecting wipes,cleaning product
25407,mango,fruit
11777,Laundry,laundry
7559,Chewing gum,various
44830,Spread,various
41500,feta cheese,various
27845,Capillary Products - Fruits,various
17871,Cabbage salad - * Bonus 15 points M,various
28939,Chocolate milk - Quebec - See in store varieties,various
2809,Disinfecting wipes,cleaning product
3145,Ice Cream With Vanilla,various
47337,"Acetaminophen - Complete - Cold, Cough and Influenza",various
3466,Bars - Maxi Max,bar
9071,"Charcuterie, Bologna",various
18960,Ice Sweets - Drumstick - View Varieties in-store,various
21137,"Chips - Saturday, November 16th only - Limit of 4",chip
18229,sports drink,various
37817,Greek Yogurt - * 100 Points Bonus M In Buy 2,yogurt
15261,English muffins,various
47766,Pale tuna Listao,various
3390,Green Organic Beard - US,various
44359,Drain opener,various
36062,Frozen Pork Back Côtes - Save $ 5.11,various
15850,Fruit Drink - Unnamed - See Varieties In Store,various
47167,Ice Cream - Real Cream - See Varieties In Store,various
19519,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit,laundry
33787,Frozen pork back ribs,various
16043,Marmalade - Buy 2 and get 1 FREE 1 peanut butter (500 g),various
27642,Ice cream bars - see varieties in store,bar
17948,Acetaminophen - Regular 325 mg,various
34255,Frozen Calzones - See Varieties in-store,various
24852,Toothpaste - Sensitive - Sunday 29th and Monday 30 December only - Limit of 4 - $ 2.99 per additional item,various
42265,Powder preparation for infants - see varieties in store,various
30440,Vegetable potato chips - See varieties in store,chip
43935,Bagelwichs - Best Prices year,various
4957,Nibrants - See Varieties In store,various
36554,Disinfecting wipes,cleaning product
10418,Frozen Dinner - O 'Sole Mio - See Varieties In Store,various
31650,Flavored milk,various
21709,Jam - Pure - View Varieties in store,various
13829,Cheese - 40% off,various
19980,Refrigerated dessert,various
31678,Large Frozen Cooked Foods - President's Choice - See Varieties In-store,various
24615,Juices - Nutrisource,juice
38747,Refrigerated dessert,various
43901,Chocolate,various
15005,Honey,various
12845,Disinfecting wipes,cleaning product
30841,minced pork,various
11741,Chocolate milk 1%,various
34584,Potatoes - Quebec,various
37042,CREAM 10%,various
39764,Frozen duck - Category Utility,various
13213,Coffee Capsules - Nabob - View Varieties In Store,various
36676,"White eggs, big caliber - lower price of the year",various
17566,"salmon, net, fresh",various
3599,Refrigerated dessert,various
12811,Fruit Drink - See Varieties In Store,various
32667,Deodorant,various
19778,Biological mature - the United States and / or Mexico,various
25753,Yogurt - creamy - see varieties in store,yogurt
12384,"Refrigerated orange juice, with pulps - View varieties in store - Limit of 4 - $ 3.99 per additional item",juice
44156,Toothbrush - Extra Clean - Saturday 15 and Sunday 16 September only - Limit of 4 - 99 ¢ The rest of the week or by article out of bound,various
15392,"Seasoned fish fillets, frozen - See in store varieties",various
46892,Cotton swabs,various
33825,Frozen waffles - EGGO,various
43889,Crunchy bars - Special K,bar
18765,Ice Cream With Vanilla,various
39108,Licorice - NIBS - See Varieties in-store,various
1408,Bocconcini Cheese (Fresh Mozzarella),various
40199,Ice Cream With Vanilla,various
20899,Margarine with lawyer oil,various
6587,Collagen - Original Formula,various
7780,Beer in Extra cans - * Bonus 50 Points M,various
38884,Hygienic buffers - Pearl,hygiene product
10305,"Toilet paper - Saturday, February 16th only - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds",various
35184,PEKOE orange tea in sachets,various
43148,Toothbrush - Twister - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit,various
38275,Frozen thin crust pizza - rustico,pizza
5826,Crunchy peanut butter,various
14870,Cookies - Choco,various
28397,White potatoes - from Quebec,various
13629,Organic Cereals - Nature's Path - See in store varieties,various
