unique_id,name
23645,Refrigerated fruit juice - see varieties in store
32406,Hygienic buffers - Pearl
45866,Disinfecting wipes
25407,mango
11777,Laundry
7559,Chewing gum
44830,Spread
41500,feta cheese
27845,Capillary Products - Fruits
17871,Cabbage salad - * Bonus 15 points M
28939,Chocolate milk - Quebec - See in store varieties
3145,Ice Cream With Vanilla
47337,"Acetaminophen - Complete - Cold, Cough and Influenza"
3466,Bars - Maxi Max
9071,"Charcuterie, Bologna"
18960,Ice Sweets - Drumstick - View Varieties in-store
21137,"Chips - Saturday, November 16th only - Limit of 4"
18229,sports drink
37817,Greek Yogurt - * 100 Points Bonus M In Buy 2
15261,English muffins
47766,Pale tuna Listao
3390,Green Organic Beard - US
44359,Drain opener
36062,Frozen Pork Back Côtes - Save $ 5.11
15850,Fruit Drink - Unnamed - See Varieties In Store
47167,Ice Cream - Real Cream - See Varieties In Store
19519,Laundry Detergent - Ultra Packs - Saturday 8th and Sunday 9 September Only - Limit of 4 - $ 3.99 The rest of the week or by item outside the limit
33787,Frozen pork back ribs
16043,Marmalade - Buy 2 and get 1 FREE 1 peanut butter (500 g)
27642,Ice cream bars - see varieties in store
17948,Acetaminophen - Regular 325 mg
34255,Frozen Calzones - See Varieties in-store
24852,Toothpaste - Sensitive - Sunday 29th and Monday 30 December only - Limit of 4 - $ 2.99 per additional item
42265,Powder preparation for infants - see varieties in store
30440,Vegetable potato chips - See varieties in store
43935,Bagelwichs - Best Prices year
4957,Nibrants - See Varieties In store
10418,Frozen Dinner - O 'Sole Mio - See Varieties In Store
31650,Flavored milk
21709,Jam - Pure - View Varieties in store
13829,Cheese - 40% off
19980,Refrigerated dessert
31678,Large Frozen Cooked Foods - President's Choice - See Varieties In-store
24615,Juices - Nutrisource
43901,Chocolate
15005,Honey
30841,minced pork
11741,Chocolate milk 1%
34584,Potatoes - Quebec
37042,CREAM 10%
39764,Frozen duck - Category Utility
13213,Coffee Capsules - Nabob - View Varieties In Store
36676,"White eggs, big caliber - lower price of the year"
17566,"salmon, net, fresh"
12811,Fruit Drink - See Varieties In Store
32667,Deodorant
19778,Biological mature - the United States and / or Mexico
25753,Yogurt - creamy - see varieties in store
12384,"Refrigerated orange juice, with pulps - View varieties in store - Limit of 4 - $ 3.99 per additional item"
44156,Toothbrush - Extra Clean - Saturday 15 and Sunday 16 September only - Limit of 4 - 99 ¢ The rest of the week or by article out of bound
15392,"Seasoned fish fillets, frozen - See in store varieties"
46892,Cotton swabs
33825,Frozen waffles - EGGO
43889,Crunchy bars - Special K
39108,Licorice - NIBS - See Varieties in-store
1408,Bocconcini Cheese (Fresh Mozzarella)
20899,Margarine with lawyer oil
6587,Collagen - Original Formula
7780,Beer in Extra cans - * Bonus 50 Points M
10305,"Toilet paper - Saturday, February 16th only - Limit of 4 - $ 5.99 The rest of the week or by article out of bounds"
35184,PEKOE orange tea in sachets
43148,Toothbrush - Twister - Saturday 17 and Sunday 18 August only.- Limit of 4 - 99 ¢ The rest of the week or by item outside the limit
38275,Frozen thin crust pizza - rustico
5826,Crunchy peanut butter
14870,Cookies - Choco
28397,White potatoes - from Quebec
13629,Organic Cereals - Nature's Path - See in store varieties
19019,Black chocolate snack - BARKTHINS - * BONUS 20 POINTS M
39973,Biological Hass Lawyer - Mexico
9513,Cereal - Special K
403,Antiperspirant vaporizer
39693,Fruit juice
1377,Pure honey
35336,Grain Coffee - See Varieties in Store - * Bonus 45 Points M
9604,Maple Syrup - President's Choice
40063,Scented oil - save $ 1 more when buying 1 product with a good-discount in store
17600,Mined with ham
36117,Italian tomatoes
34160,Cookies - weather - see varieties in store
47209,Beans - See Varieties In Store
6571,Garlic Sticks - Giuseppe
5006,Antiperspirants - see varieties in store
23862,Apple Compote - Free
6849,U Fitness buffers
49387,Wholesale whole water melon without glitches - the United States and / or Mexico
18698,"Target - Max - Saturday 27 and Sunday, July 28th only.- Limit of 4 - $ 5.99 The rest of the week or by item outside the limit"
36848,Lemons
14379,Frozen meal - Hungry-man - See in store varieties
31101,Yellow Asian Pear - China
11190,Fresh stuffed pasta
16290,Red Potatoes - From Quebec - Canada No 1
13588,Almond Drink - Natur-A
42536,Sliced White Mushrooms - Canada
27117,Almond Butter - Blue Menu
25904,Chopped chicken - blue menu
48742,Turkey skewers with vegetables
30683,Chicken spread
33919,Toothbrush - twister - see varieties in store
21131,Frozen pastry - Toaster Strudel - See in store varieties
46923,Greenhouse Orange Peppers - Imported
27180,Mesclun (mixed lettuce)
23461,Ice Cream - Häagen-Dazs
23203,Refrigerated fruit drink - see varieties in store
28199,Fruit snack - fruit
24165,Jam - Smucker's
13535,Bars - see varieties in store
28379,PREPARATION FOR INFANTONS - MORE START More
24838,Natural peanut butter
8573,Cats Food - Friskies - View Varieties in-store
23275,Textile softening in leaves
34668,Instant Rice - See Varieties In Store
28985,"Organic NAVEL ORANGES, WITHOUT PENSION - United States - * Bonus 10 Points M"
9020,Frozen chicken breast fillets
29891,Vitamin C - 500 mg
15090,Pasta - See Varieties In stock
35089,Pork Back Côtes - Lou's
9810,Ice Sweets - Drumstick
45562,Pellets - see varieties in store
15153,Honey - President's Choice - See Varieties In Store
21883,Revitalizer - * Bonus 25 Points M
38777,Litchis - Imported
27104,Cookies - Save $ 1 In addition to the purchase of 2 products with a good-discount in store
29408,sugar peas snap
16135,Whipped cream cheese - Philadelphia
4054,Tipper - Tiger - Limit of 4 - $ 6.99 per additional item
21903,Table towels - * Bonus 15 points M
33741,Cheese Cake - President's Choice - See Varieties In Store
11215,Perfume enhancer for laundry
